route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"92-32-C-j22-1","TA+qW","77.TA.92-32-C-j22-1.2.H","Jussy"," Monniaz-Hameau","0",18149
"92-32-C-j22-2","TA+qV","309.TA.92-32-C-j22-1.5.R","Thônex"," Sous-Moulin","1",18300
"92-33-C-j22-1","TA+jp000","239.TA.92-33-C-j22-1.3.R","Genève"," Rive","0",18766
"92-33-C-j22-2","TA+qV","1.TA.92-33-C-j22-1.1.H","Puplinge"," Marquis","1",18615
"92-34-A-j22-1","TA+qV","110.TA.92-34-A-j22-1.3.H","Choulex"," Chevrier","0",19093
"92-34-A-j22-2","TA+qV","271.TA.92-34-A-j22-1.5.R","Veyrier"," Tournettes","1",19183
"92-35-j22-1","TA+e3","1.TA.92-35-j22-1.1.H","Genève"," Beau-Séjour","0",19442
"92-35-j22-2","TA+qV","339.TA.92-35-j22-1.2.R","Genève"," Sainte-Clotilde","1",19708
"92-36-D-j22-1","TA+e3","10.TA.92-36-D-j22-1.2.H","Genève"," Place de Neuve","0",20118
"92-36-D-j22-2","TA+e3","10.TA.92-36-D-j22-1.2.H","Genève"," Place de Neuve","1",20118
"92-37-j22-1","TA+qV","227.TA.92-37-j22-1.2.R","Thônex"," Sous-Moulin","0",20495
"92-37-j22-2","TA+qV","1.TA.92-37-j22-1.1.H","Jussy"," Lullier","1",20353
"92-38-A-j22-1","TA+qV","1.TA.92-38-A-j22-1.1.H","Hermance"," village","0",20809
